feature,importance
OverTime,0.95670986
JobRole,0.5733137
DistanceFromHome,0.5244606
StockOptionLevel,0.48447454
Age,0.47654212
MonthlyIncome,0.47601327
DailyRate,0.46582302
EnvironmentSatisfaction,0.4503579
NumCompaniesWorked,0.44914168
YearsWithCurrManager,0.40869707
JobSatisfaction,0.39051607
RelationshipSatisfaction,0.34881487
BusinessTravel,0.33655596
YearsInCurrentRole,0.28530532
PercentSalaryHike,0.2825364
YearsSinceLastPromotion,0.26647577
MonthlyRate,0.2620237
HourlyRate,0.24673146
WorkLifeBalance,0.24161665
JobInvolvement,0.23789306
TotalWorkingYears,0.22730245
Education,0.18696551
YearsAtCompany,0.17535809
MaritalStatus,0.1439384
Gender,0.13085657
TrainingTimesLastYear,0.117261276
EducationField,0.10339434
JobLevel,0.08759695
Department,0.084978946
PerformanceRating,0.0
